iter	Passed	Remaining
0	12	12909
1	26	13082
2	40	13395
3	54	13641
4	69	13888
5	84	14016
6	99	14098
7	114	14166
8	129	14206
9	143	14232
10	158	14252
11	173	14265
12	188	14311
13	203	14320
14	218	14351
15	234	14420
16	250	14502
17	267	14577
18	283	14650
19	300	14703
20	316	14766
21	332	14800
22	349	14837
23	364	14810
24	379	14787
25	394	14776
26	409	14767
27	427	14830
28	444	14882
29	461	14927
30	480	15004
31	497	15041
32	515	15094
33	533	15158
34	548	15130
35	563	15093
36	578	15066
37	594	15039
38	609	15006
39	624	14979
40	641	15013
41	657	15005
42	676	15063
43	694	15089
44	711	15108
45	728	15115
46	744	15093
47	759	15058
48	775	15041
49	790	15017
50	805	14987
51	821	14973
52	836	14945
53	853	14946
54	870	14952
55	887	14960
56	903	14950
57	920	14954
58	942	15032
59	964	15113
60	980	15090
61	995	15066
62	1011	15041
63	1026	15012
64	1041	14987
65	1058	14974
66	1074	14958
67	1090	14942
68	1107	14936
69	1124	14935
70	1141	14934
71	1157	14916
72	1173	14896
73	1188	14875
74	1204	14851
75	1219	14823
76	1234	14793
77	1248	14761
78	1264	14737
79	1280	14725
80	1296	14706
81	1313	14700
82	1330	14700
83	1347	14688
84	1363	14677
85	1379	14664
86	1394	14637
87	1409	14610
88	1425	14587
89	1440	14561
90	1455	14535
91	1470	14515
92	1487	14503
93	1505	14506
94	1522	14500
95	1539	14494
96	1556	14486
97	1572	14475
98	1589	14462
99	1604	14443
100	1619	14417
101	1634	14391
102	1649	14365
103	1664	14340
104	1681	14329
105	1697	14320
106	1712	14294
107	1728	14272
108	1742	14243
109	1758	14227
110	1774	14209
111	1788	14181
112	1802	14148
113	1816	14116
114	1829	14082
115	1843	14047
116	1856	14012
117	1870	13978
118	1884	13949
119	1899	13926
120	1913	13899
121	1928	13877
122	1943	13859
123	1958	13839
124	1975	13825
125	1990	13804
126	2003	13771
127	2017	13742
128	2030	13710
129	2044	13680
130	2057	13648
131	2070	13617
132	2084	13586
133	2098	13563
134	2113	13543
135	2129	13530
136	2145	13516
137	2162	13506
138	2177	13488
139	2193	13471
140	2206	13445
141	2220	13416
142	2233	13387
143	2247	13358
144	2260	13330
145	2274	13302
146	2287	13273
147	2302	13257
148	2319	13245
149	2339	13255
150	2356	13248
151	2373	13242
152	2391	13237
153	2407	13225
154	2422	13209
155	2438	13191
156	2453	13174
157	2468	13155
158	2484	13140
159	2501	13131
160	2516	13115
161	2533	13106
162	2551	13103
163	2568	13091
164	2584	13077
165	2599	13061
166	2614	13042
167	2630	13024
168	2645	13007
169	2660	12987
170	2674	12968
171	2689	12948
172	2705	12931
173	2721	12920
174	2737	12906
175	2755	12902
176	2773	12894
177	2789	12882
178	2806	12870
179	2822	12856
180	2836	12836
181	2852	12818
182	2866	12798
183	2881	12780
184	2896	12760
185	2912	12746
186	2931	12744
187	2947	12730
188	2964	12718
189	2981	12709
190	2998	12700
191	3016	12692
192	3031	12674
193	3047	12661
194	3061	12639
195	3077	12622
196	3092	12604
197	3107	12587
198	3123	12571
199	3139	12556
200	3157	12549
201	3172	12534
202	3189	12521
203	3204	12503
204	3219	12484
205	3233	12463
206	3246	12435
207	3259	12409
208	3272	12384
209	3285	12358
210	3298	12334
211	3311	12310
212	3325	12288
213	3340	12268
214	3355	12250
215	3371	12237
216	3390	12232
217	3405	12216
218	3422	12205
219	3437	12186
220	3451	12164
221	3464	12141
222	3478	12118
223	3491	12094
224	3504	12071
225	3517	12048
226	3532	12028
227	3546	12008
228	3561	11992
229	3577	11977
230	3593	11962
231	3609	11949
232	3626	11937
233	3640	11917
234	3654	11896
235	3667	11873
236	3682	11854
237	3695	11831
238	3708	11809
239	3722	11787
240	3736	11767
241	3752	11752
242	3768	11739
243	3784	11724
244	3799	11709
245	3815	11694
246	3833	11686
247	3848	11668
248	3862	11648
249	3875	11627
250	3889	11606
251	3902	11584
252	3916	11563
253	3929	11541
254	3944	11524
255	3960	11508
256	3975	11494
257	3991	11478
258	4007	11465
259	4023	11451
260	4043	11449
261	4057	11430
262	4071	11410
263	4085	11390
264	4099	11369
265	4112	11348
266	4126	11327
267	4139	11305
268	4154	11288
269	4170	11274
270	4186	11260
271	4201	11245
272	4217	11230
273	4233	11216
274	4248	11200
275	4262	11181
276	4276	11162
277	4290	11143
278	4304	11124
279	4318	11103
280	4331	11083
281	4345	11063
282	4359	11044
283	4375	11030
284	4390	11014
285	4406	11002
286	4422	10987
287	4438	10972
288	4454	10960
289	4470	10944
290	4484	10925
291	4497	10905
292	4511	10885
293	4525	10866
294	4538	10846
295	4552	10826
296	4566	10808
297	4582	10795
298	4597	10778
299	4613	10764
300	4629	10749
301	4644	10734
302	4659	10719
303	4675	10704
304	4689	10685
305	4703	10667
306	4716	10647
307	4730	10627
308	4743	10608
309	4757	10588
310	4771	10570
311	4786	10555
312	4804	10544
313	4820	10532
314	4838	10520
315	4854	10506
316	4869	10492
317	4885	10477
318	4900	10462
319	4916	10448
320	4932	10433
321	4947	10417
322	4963	10402
323	4993	10419
324	5014	10414
325	5027	10393
326	5040	10374
327	5055	10358
328	5072	10345
329	5088	10331
330	5104	10316
331	5120	10302
332	5135	10287
333	5151	10272
334	5167	10258
335	5185	10247
336	5202	10234
337	5219	10223
338	5236	10210
339	5253	10197
340	5270	10185
341	5287	10172
342	5302	10156
343	5317	10139
344	5332	10124
345	5347	10108
346	5363	10092
347	5379	10079
348	5396	10066
349	5414	10055
350	5430	10041
351	5447	10027
352	5463	10014
353	5480	10000
354	5495	9985
355	5510	9968
356	5525	9952
357	5540	9936
358	5555	9919
359	5570	9902
360	5585	9887
361	5602	9874
362	5619	9861
363	5636	9848
364	5652	9834
365	5669	9821
366	5686	9807
367	5702	9792
368	5716	9775
369	5731	9759
370	5746	9742
371	5761	9726
372	5776	9710
373	5792	9694
374	5809	9682
375	5826	9670
376	5844	9658
377	5862	9646
378	5878	9632
379	5895	9618
380	5910	9602
381	5924	9585
382	5938	9566
383	5949	9544
384	5962	9523
385	5974	9504
386	5987	9484
387	6002	9468
388	6017	9452
389	6034	9438
390	6051	9424
391	6068	9412
392	6086	9400
393	6103	9387
394	6118	9371
395	6133	9355
396	6149	9339
397	6164	9323
398	6179	9307
399	6194	9291
400	6209	9275
401	6225	9260
402	6242	9248
403	6260	9235
404	6276	9221
405	6293	9208
406	6309	9193
407	6323	9175
408	6338	9158
409	6351	9140
410	6364	9121
411	6377	9101
412	6390	9082
413	6403	9063
414	6417	9046
415	6433	9031
416	6449	9017
417	6466	9003
418	6481	8987
419	6496	8971
420	6512	8957
421	6528	8942
422	6544	8926
423	6560	8912
424	6576	8897
425	6591	8881
426	6606	8865
427	6621	8849
428	6638	8836
429	6657	8825
430	6674	8811
431	6692	8799
432	6709	8786
433	6727	8773
434	6743	8758
435	6758	8743
436	6774	8727
437	6789	8712
438	6805	8696
439	6820	8680
440	6838	8668
441	6853	8652
442	6870	8638
443	6889	8626
444	6905	8612
445	6922	8598
446	6938	8583
447	6953	8567
448	6968	8551
449	6983	8535
450	6999	8520
451	7014	8503
452	7029	8488
453	7045	8472
454	7061	8458
455	7079	8445
456	7096	8431
457	7114	8418
458	7132	8406
459	7148	8392
460	7163	8375
461	7176	8357
462	7190	8339
463	7203	8321
464	7216	8303
465	7229	8284
466	7243	8266
467	7257	8249
468	7271	8232
469	7287	8217
470	7302	8202
471	7318	8187
472	7334	8171
473	7349	8155
474	7363	8138
475	7377	8121
476	7391	8104
477	7405	8086
478	7418	8069
479	7432	8051
480	7445	8034
481	7459	8016
482	7475	8001
483	7490	7985
484	7506	7971
485	7523	7956
486	7540	7942
487	7557	7929
488	7573	7914
489	7589	7899
490	7605	7883
491	7620	7868
492	7636	7853
493	7651	7837
494	7667	7822
495	7685	7809
496	7703	7796
497	7721	7783
498	7739	7770
499	7757	7757
500	7773	7742
501	7789	7727
502	7805	7712
503	7821	7696
504	7836	7681
505	7851	7665
506	7866	7648
507	7883	7634
508	7901	7622
509	7918	7608
